batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
164,CrackIVF,16,2608,16,1428,100,10,42,99999,3331.4457509550266,11.764877999667078,1.3390870008151978,10.42579099885188,0.0,0.00011100200936198235,0.0,0.0,0.0,0.0,1.3360469893086702,1,0.875,0.85625,0.834375
165,CrackIVF,16,2624,16,1428,100,10,42,99999,3344.192115968326,12.74636501329951,1.4678160077892244,11.278549005510285,0.0,0.00012997770681977272,0.0,0.0,0.0,0.0,1.4646660129074007,1,0.875,0.9,0.84125
166,CrackIVF,16,2640,16,1428,100,10,42,99999,3353.2958109863102,9.103695017984137,1.3569960137829185,7.7466990042012185,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.3539459905587137,1,0.9375,0.8625,0.798125
167,CrackIVF,16,2656,16,1428,100,10,42,99999,3368.1926899880636,14.896879001753405,1.4550960040651262,13.441782997688279,0.0,0.00010998337529599667,0.0,0.0,0.0,0.0,1.4521959819830954,1,0.875,0.925,0.831875
168,CrackIVF,16,2672,16,1428,100,10,42,99999,3379.89004800329,11.6973580152262,1.3275360106490552,10.369822004577145,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.3248460018076003,1,0.875,0.875,0.850625
169,CrackIVF,16,2688,16,1428,100,10,42,99999,3389.3720019841567,9.48195398086682,1.3216069783084095,8.16034700255841,0.0,0.0001100124791264534,0.0,0.0,0.0,0.0,1.318667025770992,1,1.0,0.88125,0.81
170,CrackIVF,16,2704,16,1428,100,10,42,99999,3400.600872002542,11.22887001838535,1.5499660221394151,9.678903996245936,0.0,0.00011999509297311306,0.0,0.0,0.0,0.0,1.5467960038222373,1,0.9375,0.8125,0.770625
171,CrackIVF,16,2720,16,1428,100,10,42,99999,3411.314772994956,10.713900992413983,1.322625990724191,9.391275001689792,0.0,0.000100000761449337,0.0,0.0,0.0,0.0,1.3199160166550428,1,0.9375,0.79375,0.72875
172,CrackIVF,16,2736,16,1428,100,10,42,99999,3428.0753569910303,16.760583996074274,1.3609059969894588,15.399677999084815,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.3581960229203105,1,0.875,0.83125,0.748125
173,CrackIVF,16,2752,16,2868,100,10,42,99999,3976.578135974705,548.502778983675,541.381138988072,7.121639995602891,3.067890997044742,0.00011999509297311306,200.4338620172348,336.1095900181681,8.987904991954565,35.67095199832693,1.380206987960264,1,0.9375,0.9375,0.893125
